PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHOS LEVEL1 (millimole/m3),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-11-02T09:20:00Z,50.7405,1.5677,15.08,0.037,,0.006,28.357,0.04,0,0.092,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T09:40:00Z,50.7405,1.5677,15.089,0.037,,0.006,28.357,0.04,0,0.027,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T10:00:00Z,50.7405,1.5677,15.051,0.036,,0.006,28.357,0.04,0,0.335,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T10:20:00Z,50.7405,1.5677,15.003,0.038,,0.006,28.357,0.04,0,0.111,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T10:40:00Z,50.7405,1.5677,14.977,0.038,,0.006,28.357,0.04,0,0.14,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T11:00:02Z,50.7405,1.5677,14.967,0.038,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T11:20:00Z,50.7405,1.5677,14.955,0.037,,0.006,28.357,0.04,0,0.079,61,,0.648,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T11:40:00Z,50.7405,1.5677,14.945,0.038,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T12:00:00Z,50.7405,1.5677,14.932,0.038,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T12:20:00Z,50.7405,1.5677,14.932,0.038,,0.006,28.357,0.04,0,0.05,61,,0.66,,0,0,0011114941101191943
6200443,0x3f,2024-11-02T12:40:00Z,50.7405,1.5677,14.925,0.038,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
6200443,0x3f,2024-11-02T13:00:00Z,50.7405,1.5677,14.927,0.037,,0.006,28.357,0.04,0,0,61,,0.66,,0,0,0011114941104191943
