PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),NTRA LEVEL1 (millimole/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200443,0x3f,2024-12-02T11:00:01Z,50.7405,1.5677,10.843,32.269,,3.616,0.571,4.91,0,1.307,8458,,76.509,0,28.38,001111191110119141
6200443,0x3f,2024-12-02T11:20:00Z,50.7405,1.5677,10.842,32.336,,3.621,0.56,4.77,0,1.992,8223,,74.432,0,28.209,001111191110119141
6200443,0x3f,2024-12-02T11:40:00Z,50.7405,1.5677,10.843,32.323,,3.621,0.586,4.69,0,1.748,8087,,73.232,0,28.545,001111191110119141
6200443,0x3f,2024-12-02T12:00:00Z,50.7405,1.5677,10.835,32.364,,3.626,0.608,4.73,0,3.597,8161,,73.714,0,27.27,001111191110119141
6200443,0x3f,2024-12-02T12:00:02Z,50.7405,1.5677,,,,,1.4,,,,,2.86,,,,001119999799991999
6200443,0x3f,2024-12-02T12:20:00Z,50.7405,1.5677,10.833,32.405,,3.626,0.56,4.96,0,1.966,8557,,77.276,0,29.467,001111191110119141
6200443,0x3f,2024-12-02T12:40:00Z,50.7405,1.5677,10.826,32.454,,3.633,0.574,5.16,0,3.896,8903,,80.689,0,32.661,001111191110119141
6200443,0x3f,2024-12-02T13:00:01Z,50.7405,1.5677,10.814,32.478,,3.635,0.566,5.07,0,3.577,8742,,79.143,0,38.273,001111191110119141
6200443,0x3f,2024-12-02T13:20:00Z,50.7405,1.5677,10.81,32.577,,3.637,0.556,5.08,0,1.725,8779,,79.539,0,47.123,001111191110119141
6200443,0x3f,2024-12-02T13:40:00Z,50.7405,1.5677,10.813,32.577,,3.643,0.58,5.11,0,2.005,8817,,79.836,0,41.622,001111191110119141
6200443,0x3f,2024-12-02T14:00:00Z,50.7405,1.5677,10.82,32.667,,3.653,0.584,4.82,0,3.438,8322,,75.31,0,44.423,001111191110119141
6200443,0x3f,2024-12-02T14:20:00Z,50.7405,1.5677,10.813,32.776,,3.664,0.595,4.41,0,3.319,7617,,68.78,0,35.082,001111191110119141
6200443,0x3f,2024-12-02T14:40:00Z,50.7405,1.5677,10.82,32.887,,3.674,0.576,4.27,0,2.793,7382,,66.851,0,26.517,001111191110119141
6200443,0x3f,2024-12-02T15:00:00Z,50.7405,1.5677,10.809,32.92,,3.678,0.599,3.79,0,1.901,6554,,59.221,0,22.929,001111191110119141
6200443,0x3f,2024-12-02T15:20:00Z,50.7405,1.5677,10.813,32.943,,3.68,0.599,3.49,0,2.266,6047,,54.67,0,21.137,001111191110119141
6200443,0x3f,2024-12-02T15:40:00Z,50.7405,1.5677,10.806,32.949,,3.68,0.589,3.78,0,2.088,6541,,59.258,0,20.598,001111191110119141
6200443,0x3f,2024-12-02T16:00:01Z,50.7405,1.5677,,,24.077,,1.4,,,,,,,,,001119909799999999
6200443,0x3f,2024-12-02T17:00:00Z,50.7405,1.5677,10.782,33.001,,3.683,0.586,5.5,0,2.803,9521,,85.883,0,18.295,001111191110119141
6200443,0x3f,2024-12-02T17:20:00Z,50.7405,1.5677,10.707,32.585,,3.635,0.61,5.81,0,1.911,10041,,90.743,0,20.273,001111191110119141
6200443,0x3f,2024-12-02T17:40:00Z,50.7405,1.5677,10.658,31.705,,3.542,0.603,6.11,0,1.834,10498,,94.44,0,25.936,001111191110119141
6200443,0x3f,2024-12-02T18:00:00Z,50.7405,1.5677,10.602,31.409,,3.507,0.571,6.1,0,2.298,10461,,94.143,0,23.071,001111191110119141
6200443,0x3f,2024-12-02T18:00:02Z,50.7405,1.5677,,,,,1.4,,,,,6.32,,,,001119999799991999
6200443,0x3f,2024-12-02T18:20:00Z,50.7405,1.5677,10.593,31.317,,3.499,0.606,6.04,0,2.374,10362,,93.179,0,24.428,001111191110119141
6200443,0x3f,2024-12-02T18:40:00Z,50.7405,1.5677,10.595,31.354,,3.501,0.586,5.65,0,1.688,9695,,87.416,0,23.675,001111191110119141
6200443,0x3f,2024-12-02T19:00:00Z,50.7405,1.5677,10.598,31.368,,3.503,0.605,5.38,0,1.534,9237,,83.187,0,19.74,001111191110119141
6200443,0x3f,2024-12-02T19:20:00Z,50.7405,1.5677,10.642,31.379,,3.508,0.592,5.41,0,3.455,9274,,83.471,0,36.621,001111191110119141
6200443,0x3f,2024-12-02T19:40:00Z,50.7405,1.5677,10.685,31.416,,3.515,0.623,4.68,0,2.004,8025,,72.23,0,33.032,001111191110119141
6200443,0x3f,2024-12-02T20:00:01Z,50.7405,1.5677,10.713,31.459,,3.522,0.617,4.63,0,2.747,7951,,71.723,0,33.618,001111191110119141
6200443,0x3f,2024-12-02T20:20:00Z,50.7405,1.5677,10.753,31.544,,3.533,0.597,3.99,0,2.321,6850,,62.004,0,35.441,001111191110119141
6200443,0x3f,2024-12-02T20:40:00Z,50.7405,1.5677,10.805,31.574,,3.542,0.626,3.46,0,1.807,5948,,53.904,0,31.84,001111191110119141
6200443,0x3f,2024-12-02T21:00:00Z,50.7405,1.5677,10.821,31.599,,3.545,0.581,2.94,0,1.552,5045,,45.618,0,31.844,001111191110119141
6200443,0x3f,2024-12-02T21:20:00Z,50.7405,1.5677,10.82,31.692,,3.555,0.629,2.74,0,2.697,4711,,42.651,0,31.618,001111191110119141
6200443,0x3f,2024-12-02T21:40:00Z,50.7405,1.5677,10.83,31.773,,3.563,0.58,2.61,0,2.131,4488,,40.573,0,26.594,001111191110119141
6200443,0x3f,2024-12-02T22:00:00Z,50.7405,1.5677,10.836,31.88,,3.578,0.595,2.63,0,3.038,4526,,40.969,0,27.089,001111191110119141
6200443,0x3f,2024-12-02T22:20:00Z,50.7405,1.5677,10.828,31.929,,3.579,0.623,2.75,0,2.451,4723,,42.589,0,29.687,001111191110119141
6200443,0x3f,2024-12-02T22:40:00Z,50.7405,1.5677,10.816,31.964,,3.581,0.627,3.41,0,2.201,5861,,52.754,0,27.823,001111191110119141
6200443,0x3f,2024-12-03T01:00:01Z,50.7405,1.5677,10.754,32.436,,3.622,0.646,4.84,0,2.444,8359,,75.742,0,25.579,001111191110119141
6200443,0x3f,2024-12-03T01:20:00Z,50.7405,1.5677,10.751,32.575,,3.643,0.642,4.89,0,2.985,8446,,76.398,0,23.642,001111191110119141
6200443,0x3f,2024-12-03T01:40:00Z,50.7405,1.5677,10.712,32.698,,3.647,0.619,4.8,0,2.922,8297,,74.902,0,21.815,001111191110119141
6200443,0x3f,2024-12-03T02:00:01Z,50.7405,1.5677,10.704,32.864,,3.663,0.664,4.87,0,3.934,8433,,76.2,0,24.769,001111191110119141
6200443,0x3f,2024-12-03T02:20:00Z,50.7405,1.5677,10.677,32.967,,3.67,0.621,4.99,0,2.765,8631,,77.672,0,22.331,001111191110119141
6200443,0x3f,2024-12-03T02:40:00Z,50.7405,1.5677,10.595,32.938,,3.66,0.657,5.98,0,2.694,10350,,93.265,0,21.279,001111191110119141
6200443,0x3f,2024-12-03T03:00:00Z,50.7405,1.5677,10.59,32.941,,3.66,0.663,6.03,0,1.433,10437,,93.711,0,20.811,001111191110119141
6200443,0x3f,2024-12-03T03:20:00Z,50.7405,1.5677,10.622,32.994,,3.667,0.665,5.75,0,1.904,9954,,89.679,0,19.934,001111191110119141
6200443,0x3f,2024-12-03T03:40:00Z,50.7405,1.5677,10.627,33.008,,3.671,0.647,5.73,0,1.78,9930,,89.444,0,20.295,001111191110119141
6200443,0x3f,2024-12-03T04:00:00Z,50.7405,1.5677,10.631,33.013,,3.671,0.634,5.96,0,2.245,10325,,93.105,0,19.547,001111191110119141
6200443,0x3f,2024-12-03T04:20:00Z,50.7405,1.5677,10.614,32.988,,3.667,0.665,6.01,0,2.11,10399,,93.723,0,19.79,001111191110119141
6200443,0x3f,2024-12-03T04:40:00Z,50.7405,1.5677,10.621,33.014,,3.67,0.648,5.86,0,2.767,10140,,91.46,0,19.578,001111191110119141
6200443,0x3f,2024-12-03T05:00:00Z,50.7405,1.5677,10.612,32.999,,3.667,0.653,6.01,0,2.59,10412,,93.785,0,21.254,001111191110119141
6200443,0x3f,2024-12-03T05:20:00Z,50.7405,1.5677,10.433,31.362,,3.49,0.631,6.1,0,2.529,10474,,93.896,0,18.326,001111191110119141
6200443,0x3f,2024-12-03T05:40:00Z,50.7405,1.5677,10.372,31.061,,3.455,0.67,6.12,0,2.492,10486,,94.057,0,19.481,001111191110119141
6200443,0x3f,2024-12-03T06:00:00Z,50.7405,1.5677,10.336,30.612,,3.404,0.644,6.12,0,3.46,10461,,93.5,0,19.231,001111191110119141
6200443,0x3f,2024-12-03T06:00:03Z,50.7405,1.5677,,,,,1.4,,,,,6.12,,,,001119999799991999
6200443,0x3f,2024-12-03T06:20:00Z,50.7405,1.5677,10.338,30.584,,3.402,0.638,5.96,0,2.553,10189,,91.237,0,21.448,001111191110119141
6200443,0x3f,2024-12-03T06:40:00Z,50.7405,1.5677,10.283,30.305,,3.369,0.652,6.11,0,3.811,10424,,93.179,0,22.333,001111191110119141
6200443,0x3f,2024-12-03T07:00:00Z,50.7405,1.5677,10.306,30.303,,3.371,0.662,6.07,0,3.673,10350,,92.239,0,17.435,001111191110119141
6200443,0x3f,2024-12-03T07:20:01Z,50.7405,1.5677,10.342,30.319,,3.376,0.667,5.66,0,3.731,9658,,86.353,0,15.284,001111191110119141
6200443,0x3f,2024-12-03T07:40:00Z,50.7405,1.5677,10.43,30.326,,3.383,0.649,5.49,0,3.659,9361,,83.793,0,14.514,001111191110119141
6200443,0x3f,2024-12-03T08:00:00Z,50.7405,1.5677,10.5,30.335,,3.39,0.662,5.32,0,3.348,9076,,81.468,0,13.444,001111191110119141
6200443,0x3f,2024-12-03T08:00:01Z,50.7405,1.5677,,,23.409,,1.4,,,,,,,,,001119909799999999
