PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DRYT LEVEL-1 (degree_Celsius),ALTS LEVEL-1 (meter),ATMS LEVEL-1 (hectopascal),DEPH LEVEL-1 (meter),GDIR LEVEL-1 (degree),GSPD LEVEL-1 (meter/second),LGH4 LEVEL-1 (micro einstein m-2 s-1),RELH LEVEL-1 (%),WDIR LEVEL-1 (degree),WSPD LEVEL-1 (meter/second),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),BATTERY LEVEL1 (volt),CNDC LEVEL1 (S/m),DEPH LEVEL1 (meter),DOX1 LEVEL1 (ml/l),END_CYCLE_FLOW LEVEL1 (l/minute),FLU3 LEVEL1 (FFU),MASS_DOXY LEVEL1 (milligram/m3),OSAT LEVEL1 (%),PHPH LEVEL1 (none),TUR4 LEVEL1 (ntu),QC
6200310,0x3f,2025-01-18T00:00:02Z,49.3438,-0.3074,,,,,,,,,,,,,28.248,,0.7,,,,,,,,001119999999999990979999999
6200310,0x3f,2025-01-18T00:03:31Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T00:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T00:23:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T00:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T00:43:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T01:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T01:03:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T01:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T01:23:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T01:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T01:43:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T01:58:01Z,49.3438,-0.3074,1.6,0,1032,-3,214,1.6,,0,74.5,0.5,,,,,,,,,,,,,001111117119411999999999999
6200310,0x3f,2025-01-18T02:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T02:17:31Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T02:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T02:37:38Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T02:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T02:57:38Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T03:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T03:17:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T03:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T03:37:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T03:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T03:57:31Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T04:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T04:17:31Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T04:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T04:37:31Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T04:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T04:57:31Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T05:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T05:17:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T05:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T05:37:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T05:40:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T05:57:30Z,49.3438,-0.3074,,,,-3,,,0,,,,,,,,,,,,,,,,001119997994999999999999999
6200310,0x3f,2025-01-18T06:00:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
6200310,0x3f,2025-01-18T06:10:00Z,49.3438,-0.3074,1,6.1,1030,-3,245.7,1.6,,0,69.5,0.8,,,,,,,,,,,,,001111117119411999999999999
6200310,0x3f,2025-01-18T06:20:00Z,49.3438,-0.3074,,,,,,,,,,,-1,-1,,,-1,-0.7,0,-1,-1000,-1,-1,-1,001119999999999449914044443
